File format - 1
# of Tracks - 13
Ticks/quarter note - 96

Start of track 1at Byte 14
Track length: 344
0: Tempo to 262912 usec/quarter note
0: Time Signature event
385920: Tempo to 328205 usec/quarter note
447360: Tempo to 262912 usec/quarter note

Start of track 2at Byte 366
Track length: 20409
258551: Off, G#2
258551: On, G#2
258671: Off, G#2
258671: On, G#2
258791: Off, G#2
258791: On, G#2
258911: Off, G#2
258911: On, G#2
259031: Off, G#2
259031: On, G#2
259151: Off, G#2
259151: On, G#2
259271: Off, G#2
259271: On, G#2
259391: Off, G#2
259391: On, G#2
259511: Off, G#2
259511: On, G#2
259631: Off, G#2
259631: On, G#2
259751: Off, G#2
259751: On, G#2
259871: Off, G#2
259871: On, G#2
259991: Off, G#2
259991: On, G#2
260111: Off, G#2
260111: On, G#2
260231: Off, G#2
260231: On, G#2
260351: Off, G#2
260351: On, G#2
260471: Off, G#2
260471: On, G#2
260591: Off, G#2
260591: On, G#2
260711: Off, G#2
260711: On, G#2
260831: Off, G#2
260831: On, G#2
260951: Off, G#2
260951: On, G#2
261071: Off, G#2
261071: On, G#2
261191: Off, G#2
261191: On, G#2
261311: Off, G#2
261311: On, G#2
261431: Off, G#2
261431: On, G#2
261551: Off, G#2
261551: On, G#2
261671: Off, G#2
261671: On, G#2
261791: Off, G#2
261791: On, C4
263854: Off, C4
263982: On, G#3
266041: Off, G#3
266165: On, G3
266372: Off, G3
268788: Off, C3
268788: On, C3
269028: Off, C3
269028: On, G3
269235: Off, G3
271651: Off, C3
271651: On, C3
271891: Off, C3
271891: On, G3
272098: Off, G3
274514: Off, C3
274514: On, D#4
276580: Off, D#4
276711: On, D#3
276918: Off, D#3
279210: Off, G#2
279210: On, G#2
279330: Off, G#2
279330: On, G#2
279450: Off, G#2
279450: On, G#2
279570: Off, G#2
279570: On, G#2
279690: Off, G#2
279690: On, G#2
279810: Off, G#2
279810: On, G#2
279930: Off, G#2
279930: On, G#2
280050: Off, G#2
280050: On, G#2
280170: Off, G#2
280170: On, G#2
280290: Off, G#2
280290: On, G#2
280410: Off, G#2
280410: On, G#2
280530: Off, G#2
280530: On, G#2
280650: Off, G#2
280650: On, G#2
280770: Off, G#2
280770: On, G#2
280890: Off, G#2
280890: On, G#2
281010: Off, G#2
281010: On, G#2
281130: Off, G#2
281130: On, G#2
281250: Off, G#2
281250: On, G#2
281370: Off, G#2
281370: On, G#2
281490: Off, G#2
281490: On, G#2
281610: Off, G#2
281610: On, G#2
281730: Off, G#2
281730: On, G#2
281850: Off, G#2
281850: On, G#2
281970: Off, G#2
281970: On, G#2
282090: Off, G#2
282090: On, G#2
282210: Off, G#2
282210: On, G#2
282330: Off, G#2
282330: On, G#2
282450: Off, G#2
282450: On, G#2
282570: Off, G#2
282570: On, G#2
282690: Off, G#2
282690: On, F3
282897: Off, F3
285191: Off, A#2
285191: On, A#2
285311: Off, A#2
285311: On, A#2
285431: Off, A#2
285431: On, A#2
285551: Off, A#2
285551: On, A#2
285671: Off, A#2
285671: On, A#2
285791: Off, A#2
285791: On, A#2
285911: Off, A#2
285911: On, A#2
286031: Off, A#2
286031: On, A#2
286151: Off, A#2
286151: On, A#2
286271: Off, A#2
286271: On, A#2
286391: Off, A#2
286391: On, A#2
286511: Off, A#2
286511: On, A#2
286631: Off, A#2
286631: On, A#2
286751: Off, A#2
286751: On, A#3
287372: Off, A#3
288938: On, G#3
292917: Off, G#3
293041: On, C4
297024: Off, C4
297152: On, F3
297359: Off, F3
299653: Off, A#2
299653: On, A#2
299773: Off, A#2
299773: On, A#2
299893: Off, A#2
299893: On, A#2
300013: Off, A#2
300013: On, A#2
300133: Off, A#2
300133: On, A#2
300253: Off, A#2
300253: On, A#2
300373: Off, A#2
300373: On, A#2
300493: Off, A#2
300493: On, A#2
300613: Off, A#2
300613: On, A#2
300733: Off, A#2
300733: On, A#2
300853: Off, A#2
300853: On, A#2
300973: Off, A#2
300973: On, A#2
301093: Off, A#2
301093: On, A#2
301213: Off, A#2
301213: On, A#2
301333: Off, A#2
301333: On, A#2
301453: Off, A#2
301453: On, A#2
301573: Off, A#2
301573: On, A#2
301693: Off, A#2
301693: On, A#2
301813: Off, A#2
301813: On, A#2
301933: Off, A#2
301933: On, A#2
302053: Off, A#2
302053: On, A#2
302173: Off, A#2
302173: On, A#2
302293: Off, A#2
302293: On, A#2
302413: Off, A#2
302413: On, A#2
302533: Off, A#2
302533: On, A#2
302653: Off, A#2
302653: On, A#2
302773: Off, A#2
302773: On, A#2
302893: Off, A#2
302893: On, A#2
303013: Off, A#2
303013: On, A#2
303133: Off, A#2
303133: On, G3
307111: Off, G3
307234: On, G#3
311213: Off, G#3
311337: On, C4
315320: Off, C4
315448: On, A#3
317509: Off, A#3
317635: On, A#3
318256: Off, A#3
319822: On, C4
323805: Off, C4
323933: On, G#3
325992: Off, G#3
326116: On, A#3
328177: Off, A#3
328303: On, C4
332286: Off, C4
332414: On, G#3
334473: Off, G#3
334597: On, A#3
336658: Off, A#3
336784: On, C4
340767: Off, C4
340895: On, G#3
342954: Off, G#3
343078: On, A#3
345139: Off, A#3
345265: On, C4
349248: Off, C4
349376: On, G#3
351435: Off, G#3
351559: On, G#3
352178: Off, G#3
352302: On, A#3
352923: Off, A#3
353049: On, G#3
353548: Off, G#3
353672: On, G3
354170: Off, G3
354293: On, F3
354669: Off, F3
354790: On, C4
355653: Off, C4
358901: On, C4
359524: Off, C4
359652: On, C3
359892: Off, C3
359892: On, C3
360132: Off, C3
360132: On, C3
360372: Off, C3
360372: On, C3
360612: Off, C3
360612: On, C3
360852: Off, C3
360852: On, C3
361092: Off, C3
361092: On, C3
361332: Off, C3
361332: On, C3
361572: Off, C3
361572: On, C3
361812: Off, C3
361812: On, C3
362052: Off, C3
362052: On, C3
362292: Off, C3
362292: On, C3
362532: Off, C3
362532: On, C3
362772: Off, C3
362772: On, C3
363012: Off, C3
363012: On, G#3
363631: Off, G#3
363755: On, G#2
363995: Off, G#2
363995: On, G#2
364235: Off, G#2
364235: On, G#2
364475: Off, G#2
364475: On, G#2
364715: Off, G#2
364715: On, G#2
364955: Off, G#2
364955: On, G#2
365195: Off, G#2
365195: On, G#2
365435: Off, G#2
365435: On, G#2
365675: Off, G#2
365675: On, G#2
365915: Off, G#2
365915: On, G#2
366155: Off, G#2
366155: On, G#2
366395: Off, G#2
366395: On, G#2
366635: Off, G#2
366635: On, G#2
366875: Off, G#2
366875: On, G#2
367115: Off, G#2
367115: On, A#3
367736: Off, A#3
367862: On, A#2
368102: Off, A#2
368102: On, A#2
368342: Off, A#2
368342: On, A#2
368582: Off, A#2
368582: On, A#2
368822: Off, A#2
368822: On, A#2
369062: Off, A#2
369062: On, A#2
369302: Off, A#2
369302: On, A#2
369542: Off, A#2
369542: On, A#2
369782: Off, A#2
369782: On, A#2
370022: Off, A#2
370022: On, A#2
370262: Off, A#2
370262: On, A#2
370502: Off, A#2
370502: On, A#2
370742: Off, A#2
370742: On, A#2
370982: Off, A#2
370982: On, A#2
371222: Off, A#2
371222: On, C4
371845: Off, C4
373413: On, C4
374036: Off, C4
375604: On, G3
375811: Off, G3
378107: Off, C3
378107: On, C3
378227: Off, C3
378227: On, C3
378347: Off, C3
378347: On, C3
378467: Off, C3
378467: On, C3
378587: Off, C3
378587: On, C3
378707: Off, C3
378707: On, C3
378827: Off, C3
378827: On, C3
378947: Off, C3
378947: On, C3
379067: Off, C3
379067: On, C3
379187: Off, C3
