File format - 1
# of Tracks - 8
Ticks/quarter note - 192

Start of track 1 at Byte 14
Track length: 19
0, Time Signature event
0, Tempo to 789473 usec/quarter note
0,End of track

Start of track 2 at Byte 41
Track length: 9410
0, Sequence/Track Name event
0, Program change event, Channel: 1
0, Control change event, Channel: 1
5031,Off,G3,1
5031,Off,D4,1
5031,Off,G4,1
5031,On,C#5,1
5031,On,D#5,1
5033, Tempo to 1000000 usec/quarter note
5033,Off,C#5,1
5033,Off,D#5,1
5033,On,D#5,1
5057, Tempo to 789473 usec/quarter note
5057,On,G#3,1
5057,On,D#4,1
5057,On,G#4,1
5069,Off,G#3,1
5069,On,G#3,1
5069,Off,D#4,1
5069,On,D#4,1
5069,Off,G#4,1
5069,On,G#4,1
5094,Off,G#3,1
5094,On,D#3,1
5094,Off,D#4,1
5094,On,A#3,1
5094,Off,G#4,1
5094,On,D#4,1
5120,Off,D#3,1
5120,On,D#3,1
5120,Off,A#3,1
5120,On,A#3,1
5120,Off,D#4,1
5120,On,D#4,1
5145,Off,D#3,1
5145,On,D#3,1
5145,Off,A#3,1
5145,On,A#3,1
5145,Off,D#4,1
5145,On,D#4,1
5158,Off,D#3,1
5158,On,G3,1
5158,Off,A#3,1
5158,On,C4,1
5158,Off,D#4,1
5158,On,G4,1
5158,Off,D#5,1
5158,On,C5,1
5170,Off,G3,1
5170,On,G3,1
5170,Off,C4,1
5170,On,C4,1
5170,Off,G4,1
5170,On,G4,1
5170,Off,C5,1
5170,On,C5,1
5183,Off,G3,1
5183,On,G3,1
5183,Off,C4,1
5183,On,C4,1
5183,Off,G4,1
5183,On,G4,1
5183,Off,C5,1
5183,On,C5,1
5196,Off,G3,1
5196,On,G3,1
5196,Off,C4,1
5196,On,C4,1
5196,Off,G4,1
5196,On,G4,1
5196,Off,C5,1
5196,On,C5,1
5208,Off,G3,1
5208,On,G3,1
5208,Off,C4,1
5208,On,D4,1
5208,Off,G4,1
5208,On,G4,1
